Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2139M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/02/2024 08:31,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2139.1,0.0,00:16:10.9,00:03:47.3,2.20,00:00:00.0,0.00,24.5,247,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2216996,0.1638235


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2139.1,0.0,00:16:10.9,00:03:47.3,2.20,00:00:00.0,0.00,24.5,247,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2216996,0.1638235



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.2,0.0,00:00:02.3,00:28:44.1,0.29,00:00:00.0,0.00,25.5,1,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2216996,0.1638235
1,2.9,0.0,00:00:03.6,00:07:26.4,1.12,00:00:00.0,0.00,34.0,2,1.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2216925,0.1638020
1,10.1,0.0,00:00:06.6,00:04:10.0,2.00,00:00:00.0,0.00,19.0,3,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2216615,0.1637085
1,18.7,0.0,00:00:09.6,00:03:16.1,2.55,00:00:00.0,0.00,19.5,4,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2216239,0.1635990
1,27.7,0.0,00:00:12.6,00:02:48.4,2.97,00:00:00.0,0.00,21.5,5,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2215830,0.1634839
1,35.7,0.0,00:00:14.9,00:02:41.3,3.10,00:00:00.0,0.00,24.0,6,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2215496,0.1633812
1,42.7,0.0,00:00:17.1,00:02:41.8,3.09,00:00:00.0,0.00,27.5,7,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2215217,0.1632886
1,49.8,0.0,00:00:19.3,00:02:38.7,3.15,00:00:00.0,0.00,27.5,8,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2214922,0.1631967
1,56.7,0.0,00:00:21.6,00:02:32.0,3.29,00:00:00.0,0.00,30.0,9,6.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2214657,0.1631055
1,63.3,0.0,00:00:23.1,00:02:23.7,3.48,00:00:00.0,0.00,31.0,10,6.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2214413,0.1630175
1,70.6,0.0,00:00:25.1,00:02:16.6,3.66,00:00:00.0,0.00,31.0,11,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2214123,0.1629206
1,77.5,0.0,00:00:26.9,00:02:13.7,3.74,00:00:00.0,0.00,32.0,12,6.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2213878,0.1628271
1,85.3,0.0,00:00:28.9,00:02:12.3,3.78,00:00:00.0,0.00,31.0,13,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2213617,0.1627224
1,91.8,0.0,00:00:30.7,00:02:09.9,3.85,00:00:00.0,0.00,32.5,14,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2213384,0.1626345
1,99.5,0.0,00:00:32.5,00:02:05.6,3.98,00:00:00.0,0.00,32.5,15,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2213090,0.1625325
1,106.5,0.0,00:00:34.3,00:02:06.9,3.94,00:00:00.0,0.00,32.5,16,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2212810,0.1624403
1,114.1,0.0,00:00:36.6,00:02:10.2,3.84,00:00:00.0,0.00,32.5,17,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2212522,0.1623399
1,120.9,0.0,00:00:38.1,00:02:11.2,3.81,00:00:00.0,0.00,32.5,18,6.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2212245,0.1622502
1,128.4,0.0,00:00:40.1,00:02:13.3,3.75,00:00:00.0,0.00,32.5,19,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2211928,0.1621540
1,135.2,0.0,00:00:41.9,00:02:12.6,3.77,00:00:00.0,0.00,32.5,20,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2211624,0.1620672
1,142.2,0.0,00:00:43.7,00:02:13.3,3.75,00:00:00.0,0.00,32.5,21,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2211309,0.1619786
1,148.3,0.0,00:00:45.6,00:02:11.6,3.80,00:00:00.0,0.00,31.0,22,6.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2211045,0.1618993
1,156.3,0.0,00:00:47.5,00:02:08.2,3.90,00:00:00.0,0.00,32.5,23,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2210755,0.1617927
1,163.1,0.0,00:00:49.3,00:02:09.9,3.85,00:00:00.0,0.00,31.0,24,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2210536,0.1616991
1,169.9,0.0,00:00:51.2,00:02:11.6,3.80,00:00:00.0,0.00,32.0,25,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2210339,0.1616054
1,177.3,0.0,00:00:53.1,00:02:13.0,3.76,00:00:00.0,0.00,32.5,26,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2210092,0.1615033
1,184.2,0.0,00:00:54.9,00:02:13.0,3.76,00:00:00.0,0.00,32.5,27,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2209845,0.1614114
1,191.2,0.0,00:00:56.7,00:02:10.2,3.84,00:00:00.0,0.00,31.0,28,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2209602,0.1613166
1,199.0,0.0,00:00:58.7,00:02:09.5,3.86,00:00:00.0,0.00,32.5,29,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2209351,0.1612098
1,205.5,0.0,00:01:00.6,00:02:08.5,3.89,00:00:00.0,0.00,32.5,30,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2209166,0.1611189
1,213.8,0.0,00:01:02.5,00:02:04.7,4.01,00:00:00.0,0.00,31.0,31,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2208943,0.1610028
1,220.6,0.0,00:01:04.3,00:02:06.9,3.94,00:00:00.0,0.00,31.0,32,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2208727,0.1609097
1,227.9,0.0,00:01:06.6,00:02:14.4,3.72,00:00:00.0,0.00,32.5,33,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2208513,0.1608091
1,234.6,0.0,00:01:08.1,00:02:17.4,3.64,00:00:00.0,0.00,32.5,34,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2208360,0.1607139
1,241.3,0.0,00:01:09.9,00:02:15.9,3.68,00:00:00.0,0.00,31.0,35,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2208189,0.1606194
1,248.6,0.0,00:01:11.9,00:02:15.1,3.70,00:00:00.0,0.00,31.0,36,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2207974,0.1605184
1,255.9,0.0,00:01:13.9,00:02:15.5,3.69,00:00:00.0,0.00,31.0,37,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2207776,0.1604155
