Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-8503M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,01/22/2024 08:55,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8504.0,0.0,01:16:56.0,00:04:31.7,1.84,00:00:00.0,0.00,33.5,1175,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2220576,0.1655730


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8504.0,0.0,01:16:56.0,00:04:31.7,1.84,00:00:00.0,0.00,33.5,1175,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2220576,0.1655730



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3.6,0.0,00:00:03.4,00:08:20.0,1.00,00:00:00.0,0.00,17.5,1,3.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2220576,0.1655730
1,8.7,0.0,00:00:06.8,00:06:40.0,1.25,00:00:00.0,0.00,18.0,2,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2220412,0.1655031
1,14.2,0.0,00:00:10.2,00:05:26.8,1.53,00:00:00.0,0.00,18.5,3,5.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2220299,0.1654235
1,19.9,0.0,00:00:13.6,00:05:06.7,1.63,00:00:00.0,0.00,16.0,4,5.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2220189,0.1653427
1,25.8,0.0,00:00:17.4,00:05:04.9,1.64,00:00:00.0,0.00,16.5,5,6.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2220093,0.1652568
1,31.4,0.0,00:00:20.6,00:05:06.7,1.63,00:00:00.0,0.00,17.5,6,5.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2220005,0.1651767
1,37.5,0.0,00:00:24.4,00:05:01.2,1.66,00:00:00.0,0.00,17.5,7,6.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2219902,0.1650880
1,43.1,0.0,00:00:27.8,00:05:01.2,1.66,00:00:00.0,0.00,18.5,8,5.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2219783,0.1650093
1,47.1,0.0,00:00:31.2,00:05:35.6,1.49,00:00:00.0,0.00,16.5,9,4.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2219730,0.1649509
1,57.7,0.0,00:01:01.6,00:09:34.7,0.87,00:00:00.0,0.00,25.5,10,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2219452,0.1648016
1,59.2,0.0,00:01:02.6,00:06:21.7,1.31,00:00:00.0,0.00,41.5,11,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2219372,0.1647825
1,65.2,0.0,00:01:05.4,00:04:00.4,2.08,00:00:00.0,0.00,25.0,12,6.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2219053,0.1647085
1,71.1,0.0,00:01:07.2,00:03:21.6,2.48,00:00:00.0,0.00,27.5,13,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2218784,0.1646350
1,77.5,0.0,00:01:09.2,00:02:50.1,2.94,00:00:00.0,0.00,30.0,14,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2218472,0.1645553
1,84.6,0.0,00:01:11.4,00:02:33.4,3.26,00:00:00.0,0.00,31.0,15,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2218122,0.1644692
1,92.0,0.0,00:01:13.2,00:02:19.7,3.58,00:00:00.0,0.00,31.0,16,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2217801,0.1643736
1,99.4,0.0,00:01:15.2,00:02:14.4,3.72,00:00:00.0,0.00,30.0,17,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2217499,0.1642773
1,106.5,0.0,00:01:17.0,00:02:12.6,3.77,00:00:00.0,0.00,31.0,18,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2217189,0.1641862
1,114.3,0.0,00:01:19.0,00:02:10.2,3.84,00:00:00.0,0.00,31.0,19,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2216866,0.1640848
1,122.1,0.0,00:01:21.0,00:02:08.9,3.88,00:00:00.0,0.00,31.0,20,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2216592,0.1639788
1,129.9,0.0,00:01:23.0,00:02:07.2,3.93,00:00:00.0,0.00,30.0,21,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2216302,0.1638756
1,137.0,0.0,00:01:24.8,00:02:09.5,3.86,00:00:00.0,0.00,32.5,22,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2216011,0.1637831
1,144.6,0.0,00:01:26.8,00:02:10.2,3.84,00:00:00.0,0.00,31.0,23,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2215691,0.1636836
1,151.8,0.0,00:01:28.6,00:02:06.6,3.95,00:00:00.0,0.00,31.0,24,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2215419,0.1635879
1,159.7,0.0,00:01:30.6,00:02:06.9,3.94,00:00:00.0,0.00,31.0,25,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2215121,0.1634828
1,166.3,0.0,00:01:32.4,00:02:06.9,3.94,00:00:00.0,0.00,31.0,26,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2214878,0.1633950
1,174.6,0.0,00:01:34.4,00:02:04.1,4.03,00:00:00.0,0.00,31.0,27,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2214570,0.1632844
1,182.5,0.0,00:01:36.4,00:02:04.7,4.01,00:00:00.0,0.00,32.5,28,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2214319,0.1631753
1,189.8,0.0,00:01:38.4,00:02:05.9,3.97,00:00:00.0,0.00,30.0,29,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2214068,0.1630773
