Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name:,JustGo-4469M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---,,,,,,,,,,
Start Time:,02/03/2024 13:10,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---,,,,,,,,,,
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---,,,,,,,,,,
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---,,,,,,,,,,
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---,,,,,,,,,,
,,,,Hardware Version:,Rev 11,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Session Summary:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,22:13.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval Summaries:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8.2,0,00:03.0,02:57.9,2.81,00:00.0,0,20,1,8.2,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
1,15.5,0,00:05.8,03:07.3,2.67,00:00.0,0,22,2,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5697898,-0.1752963
1,23,0,00:08.8,03:14.6,2.57,00:00.0,0,20.5,3,7.5,0,---,---,---,---,---,---,---,---,---,---,52.5697811,-0.1754065
1,30.1,0,00:11.6,03:16.9,2.54,00:00.0,0,20.5,4,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5697701,-0.1755101
1,37.9,0,00:14.6,03:14.6,2.57,00:00.0,0,20,5,7.9,0,---,---,---,---,---,---,---,---,---,---,52.5697588,-0.1756249
1,45.2,0,00:17.4,03:11.6,2.61,00:00.0,0,21.5,6,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5697546,-0.1757318
1,53.3,0,00:20.4,03:10.1,2.63,00:00.0,0,20,7,8.1,0,---,---,---,---,---,---,---,---,---,---,52.5697595,-0.1758518
1,61,0,00:23.2,03:03.8,2.72,00:00.0,0,20,8,7.7,0,---,---,---,---,---,---,---,---,---,---,52.569767,-0.1759653
1,69.2,0,00:26.2,03:01.2,2.76,00:00.0,0,21.5,9,8.2,0,---,---,---,---,---,---,---,---,---,---,52.5697812,-0.1760836
