Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-4447M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/16/2024 08:24,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4447.2,0.0,00:44:23.2,00:05:01.2,1.66,00:00:00.0,0.00,24.0,507,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2346481,0.1716522


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4447.2,0.0,00:44:23.2,00:05:01.2,1.66,00:00:00.0,0.00,24.0,507,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2346481,0.1716522



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.6,0.0,00:00:02.2,00:59:31.4,0.14,00:00:00.0,0.00,27.5,1,0.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2346481,0.1716522
1,2.4,0.0,00:00:03.6,00:10:09.8,0.82,00:00:00.0,0.00,27.5,2,1.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2346333,0.1716432
1,8.7,0.0,00:00:07.3,00:05:26.8,1.53,00:00:00.0,0.00,16.5,3,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2345819,0.1716057
1,16.4,0.0,00:00:10.8,00:04:21.8,1.91,00:00:00.0,0.00,17.0,4,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2345199,0.1715548
1,29.8,0.0,00:01:14.6,00:06:18.8,1.32,00:00:00.0,0.00,26.5,5,13.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2344049,0.1714955
1,31.5,0.0,00:01:15.8,00:08:46.3,0.95,00:00:00.0,0.00,28.5,6,1.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2343894,0.1714950
1,37.9,0.0,00:01:19.3,00:05:04.9,1.64,00:00:00.0,0.00,17.5,7,6.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2343324,0.1714847
1,45.9,0.0,00:01:22.8,00:04:10.0,2.00,00:00:00.0,0.00,18.0,8,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2342611,0.1714709
1,54.3,0.0,00:01:26.0,00:03:31.0,2.37,00:00:00.0,0.00,17.5,9,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2341853,0.1714671
1,63.5,0.0,00:01:29.4,00:03:12.3,2.60,00:00:00.0,0.00,18.0,10,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2341027,0.1714663
1,72.5,0.0,00:01:32.6,00:03:05.9,2.69,00:00:00.0,0.00,19.0,11,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2340220,0.1714578
1,81.7,0.0,00:01:35.8,00:03:01.8,2.75,00:00:00.0,0.00,18.0,12,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2339399,0.1714571
1,90.6,0.0,00:01:39.0,00:02:58.6,2.80,00:00:00.0,0.00,18.5,13,8.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2338602,0.1714473
1,99.3,0.0,00:01:42.0,00:02:57.9,2.81,00:00:00.0,0.00,19.0,14,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2337827,0.1714312
1,108.6,0.0,00:01:45.2,00:02:56.1,2.84,00:00:00.0,0.00,19.0,15,9.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2336995,0.1714122
1,117.8,0.0,00:01:48.4,00:02:53.0,2.89,00:00:00.0,0.00,19.0,16,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2336174,0.1713932
1,127.6,0.0,00:01:51.6,00:02:51.2,2.92,00:00:00.0,0.00,19.0,17,9.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2335300,0.1713768
1,136.8,0.0,00:01:54.6,00:02:50.1,2.94,00:00:00.0,0.00,19.0,18,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2334487,0.1713602
1,146.0,0.0,00:01:57.8,00:02:51.2,2.92,00:00:00.0,0.00,18.5,19,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2333663,0.1713442
1,155.3,0.0,00:02:01.2,00:02:56.1,2.84,00:00:00.0,0.00,18.0,20,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2332841,0.1713213
1,164.2,0.0,00:02:04.2,00:02:53.0,2.89,00:00:00.0,0.00,19.0,21,8.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2332046,0.1713043
1,174.3,0.0,00:02:07.4,00:02:47.2,2.99,00:00:00.0,0.00,18.0,22,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2331145,0.1712877
1,183.9,0.0,00:02:10.6,00:02:46.7,3.00,00:00:00.0,0.00,19.0,23,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2330290,0.1712704
1,193.1,0.0,00:02:13.8,00:02:49.5,2.95,00:00:00.0,0.00,19.0,24,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2329463,0.1712584
1,202.9,0.0,00:02:17.0,00:02:50.1,2.94,00:00:00.0,0.00,18.0,25,9.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2328591,0.1712411
1,213.0,0.0,00:02:20.4,00:02:48.4,2.97,00:00:00.0,0.00,18.5,26,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2327694,0.1712230
1,222.5,0.0,00:02:23.6,00:02:48.4,2.97,00:00:00.0,0.00,18.5,27,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2326849,0.1711987
1,316.9,0.0,00:04:03.6,00:10:25.0,0.80,00:00:00.0,0.00,68.0,28,94.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2321643,0.1711628
1,316.9,0.0,00:04:05.4,00:09:09.5,0.91,00:00:00.0,0.00,32.5,29,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2321493,0.1711343
1,316.9,0.0,00:04:07.3,00:06:30.6,1.28,00:00:00.0,0.00,32.5,30,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2321287,0.1710677
1,316.9,0.0,00:04:09.0,00:04:19.1,1.93,00:00:00.0,0.00,35.0,31,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2321226,0.1710517
1,316.9,0.0,00:04:10.6,00:02:57.9,2.81,00:00:00.0,0.00,35.5,32,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2321046,0.1710449
1,321.6,0.0,00:04:12.4,00:02:27.1,3.40,00:00:00.0,0.00,37.5,33,4.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2320630,0.1710286
1,326.9,0.0,00:04:14.0,00:02:18.1,3.62,00:00:00.0,0.00,37.0,34,5.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2320168,0.1710112
1,332.9,0.0,00:04:15.6,00:02:10.5,3.83,00:00:00.0,0.00,37.0,35,6.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2319633,0.1709955
1,338.1,0.0,00:04:17.0,00:02:06.3,3.96,00:00:00.0,0.00,37.0,36,5.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2319172,0.1709830
1,344.2,0.0,00:04:18.6,00:02:05.3,3.99,00:00:00.0,0.00,37.5,37,6.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2318631,0.1709687
1,350.9,0.0,00:04:20.2,00:02:02.8,4.07,00:00:00.0,0.00,39.0,38,6.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2318043,0.1709534
1,357.7,0.0,00:04:21.8,00:01:59.6,4.18,00:00:00.0,0.00,37.0,39,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2317435,0.1709411
1,364.4,0.0,00:04:23.4,00:01:56.8,4.28,00:00:00.0,0.00,37.5,40,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2316838,0.1709300
